playerID,teams
andreji01,['CHN']
andrejo01,['CHN']
andrejo02,['SLN']
andrejo03,"['SEA', 'BAL', 'SDN']"
andreki01,['BOS']
andremi01,"['BOS', 'CHA', 'OAK']"
andrena01,"['SLN', 'CLE', 'BSN', 'CIN', 'NY1']"
andrero01,"['HOU', 'SFN']"
andresh01,"['MON', 'CHN', 'BOS']"
andrest01,"['BSN', 'BRO', 'PHI']"
andrewa01,['LS2']
andrima01,"['TBA', 'ARI', 'LAA', 'BOS', 'SEA']"
andrubi01,"['WS1', 'PHI']"
andruel01,"['TEX', 'OAK', 'CHA']"
andrufr01,['CHN']
andruwi01,['PRO']
andujjo01,"['HOU', 'SLN', 'OAK']"
andujlu01,"['CHA', 'TOR']"
andujmi01,"['NYA', 'PIT']"
angelno01,['KCA']
anglema01,['BAL']
angleto01,['CHN']
ankenpa01,"['SLN', 'BRO']"
ankieri01,"['SLN', 'KCA', 'ATL', 'WAS', 'HOU', 'NYN']"
annade01,"['NYA', 'SLN']"
annisbi01,['BSN']
ansonca01,"['RC1', 'PH1', 'CHN']"
anthoer01,"['HOU', 'SEA', 'CIN', 'COL', 'LAN']"
antoldu01,['TOR']
antoljo01,['PHI']
antonbi01,['BRO']
antonjo01,"['SLN', 'PHI']"
antonjo02,"['BSN', 'ML1', 'NY1', 'SFN', 'CLE']"
antonma01,['SDN']
antonte01,['CIN']
aokino01,"['MIL', 'KCA', 'SFN', 'SEA', 'HOU', 'TOR', 'NYN']"
aparilu01,"['CHA', 'BAL', 'BOS']"
apodabo01,['NYN']
apontlu01,"['BOS', 'CLE']"
apostsh01,['TEX']
appelma01,['PHI']
appieke01,"['KCA', 'OAK', 'NYN', 'ANA']"
appleed01,['BRO']
applefr01,['PHA']
applepe01,"['CIN', 'CLE', 'BOS', 'NYA', 'WS1', 'CHA', 'SLA']"
applilu01,['CHA']
aquinar01,['CIN']
aquingr01,"['ARI', 'MIL', 'BAL', 'CLE']"
aquinja01,['BAL']
aquinlu01,"['TOR', 'KCA', 'FLO', 'MON', 'SFN']"
aragoan01,['NYA']
aragoja01,['NY1']
arandjo01,['TBA']
aranovi01,"['PHI', 'WAS']"
araujel01,['PHI']
araujpe01,['BAL']
arauzjo01,"['BOS', 'BAL']"
archdma01,['CHA']
archech01,"['TBA', 'PIT', 'MIN']"
archefr01,['PHA']
archeji01,"['PIT', 'DET', 'CHN', 'BRO', 'CIN']"
archeji02,['KC1']
archige01,"['DET', 'WS1', 'SLA']"
arciafr01,['LAA']
arciajo01,"['CHN', 'SDN']"
arciaor01,"['MIL', 'ATL']"
arciaos01,"['MIN', 'TBA', 'MIA', 'SDN']"
ardelda01,['LAA']
ardizru01,['NYA']
ardnejo01,"['CL2', 'CL4']"
ardoida01,"['MIN', 'TEX', 'COL', 'BAL', 'LAN']"
arellfr01,['BOS']
arenano01,"['COL', 'SLN']"
arencjp01,"['TOR', 'TEX', 'TBA']"
arftha01,['SLA']
ariasal01,"['CHN', 'FLO', 'PHI', 'SDN', 'NYA']"
ariasal02,"['COL', 'HOU']"
ariasga01,['CLE']
ariasge01,"['CAL', 'ANA', 'SDN']"
ariasjo01,"['TEX', 'NYN', 'SFN']"
ariasru01,['CHA']
arihako01,['TEX']
arletbu01,['PHI']
arlicdo01,['HOU']
arlinst01,"['SDN', 'CLE']"
armasma01,['OAK']
armasto01,"['PIT', 'OAK', 'BOS', 'CAL']"
armasto02,"['MON', 'WAS', 'PIT', 'NYN']"
armbrch01,"['BOS', 'CHA']"
armbred01,['CIN']
armbrha01,['PHA']
armbror01,['WS1']
armenro01,['HOU']
armstbo01,['FW1']
armstge01,['PHA']
armstho01,['PHA']
armstja01,"['CIN', 'CLE', 'FLO', 'TEX']"
armstmi01,"['SDN', 'KCA', 'NYA', 'CLE']"
armstsh01,"['CLE', 'SEA', 'BAL', 'TBA', 'MIA']"
arndtha01,"['DET', 'BLA', 'SLN']"
arndtla01,['OAK']
arnolbi01,['MID']
arnolch01,['SFN']
arnolja01,"['LAN', 'CHN']"
arnolsc01,['SLN']
arnolto01,['BAL']
arnovmo01,"['PHI', 'CIN', 'NY1']"
arnsbbr01,"['NYA', 'TEX', 'CLE']"
arntzor01,['PHA']
arochre01,"['SLN', 'SFN']"
arojo01,"['BOS', 'SEA']"
arozara01,"['SLN', 'TBA']"
arraelu01,['MIN']
arredjo01,"['LAA', 'CIN']"
arrieja01,"['BAL', 'CHN', 'PHI', 'SDN']"
arrigge01,"['MIN', 'CIN', 'NYN', 'CHA']"
arrojro01,"['TBA', 'COL', 'BOS']"
arroybr01,"['PIT', 'BOS', 'CIN', 'ARI']"
arroych01,"['SFN', 'TBA', 'CLE', 'BOS']"
arroyfe01,"['DET', 'MIN', 'OAK']"
arroylu01,"['SLN', 'PIT', 'CIN', 'NYA']"
arroyru01,['SLN']
arrueer01,['LAN']
arteahu01,"['KCA', 'WAS']"
arundha01,"['BR2', 'PT1', 'PRO']"
arundtu01,"['PH4', 'TL1', 'IN3', 'WS8']"
asadora01,['SDN']
asbelji01,['CHN']
asbjoca01,"['BOS', 'CIN']"
ascanjo01,"['ATL', 'CHN', 'PIT']"
ascheco01,"['PHI', 'CHA']"
asencmi01,"['KCA', 'COL']"
ashburi01,"['PHI', 'CHN', 'NYN']"
ashbyaa01,['MIL']
ashbyal01,"['CLE', 'TOR', 'HOU']"
ashbyan01,"['PHI', 'COL', 'SDN', 'ATL', 'LAN']"
ashcrgr01,['CIN']
asheral01,"['PHI', 'BAL', 'MIL']"
ashfotu01,"['SDN', 'TEX', 'NYA', 'NYN', 'KCA']"
ashke01,"['CHA', 'CIN']"
ashlebi01,"['LAN', 'BOS']"
ashlene01,['MIL']
asmusto01,['BSN']
asprobo01,"['BRO', 'LAN', 'HOU', 'ATL', 'NYN']"
asproke01,"['BOS', 'WS1', 'CLE', 'LAA', 'ML1', 'CHN']"
assadja01,['CHN']
asselbr01,['ATL']
assenpa01,"['ATL', 'CHN', 'NYA', 'CHA', 'CLE']"
astacez01,['HOU']
astacpe01,"['LAN', 'COL', 'HOU', 'NYN', 'BOS', 'TEX', 'SDN', 'WAS']"
astinba01,['CIN']
astrojo01,"['PHA', 'KC1']"
astudwi01,"['MIN', 'MIA']"
asuajca01,['SDN']
atchisc01,"['SEA', 'SFN', 'BOS', 'NYN', 'CLE']"
atchlju01,['CIN']
atherch01,['WAS']
atherke01,"['OAK', 'MIN', 'CLE']"
atilalu01,['WAS']
atkinal01,"['PH4', 'CHU', 'BLU']"
atkinbi01,['MON']
atkined01,['WS5']
atkinga01,"['COL', 'BAL']"
atkinja01,['BOS']
atkinle01,['WS1']
atkinmi01,"['CHN', 'BAL']"
atkinto01,['PHA']
attredi01,['PHI']
atwelto01,"['CHN', 'PIT', 'ML1']"
atwoobi01,['PHI']
atzja01,"['WS1', 'CHA']"
aubreha01,['BSN']
aubremi01,"['CLE', 'BAL']"
aucoide01,['MON']
auderi01,['PIT']
auerbri01,"['ML4', 'LAN', 'CIN', 'SEA']"
augenbr01,"['ARI', 'SLN']"
augusda01,['PIT']
augusdo01,['ML4']
augusje01,['ML4']
aukerel01,"['DET', 'BOS', 'SLA']"
auldsle01,['BOS']
aultdo01,"['TEX', 'TOR']"
aumonph01,['PHI']
